"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did not reoffend","Males",47,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.8687055700107
"Did reoffend","Females",37,"African-Americans",23,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.77293775411234
"Did reoffend","Males",25,"African-Americans",3,0,1,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",5.72959386409658
"Did not reoffend","Males",22,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.31493653580191
"Did reoffend","Males",26,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.93309535080322
"Did reoffend","Males",21,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.96837864128139
"Did reoffend","Males",32,"African-Americans",7,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.87837264835927
"Did not reoffend","Males",34,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.64074882973977
"Did not reoffend","Males",26,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.60461678498756
"Did reoffend","Males",20,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.05050165138731
"Did not reoffend","Males",36,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.64384081409678
"Did reoffend","Males",37,"African-Americans",23,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.22066007721781
"Did reoffend","Males",20,"African-Americans",2,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",5.71877317348284
"Did not reoffend","Males",30,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",6.11915103148651
"Did not reoffend","Males",47,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.63492367782246
"Did reoffend","Males",30,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.97307609435433
"Did reoffend","Males",44,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",1,"Left-handed individuals",5.5031279506838
"Did not reoffend","Males",26,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.14744588398451
"Did reoffend","Females",47,"African-Americans",19,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.99577677383605
"Did not reoffend","Males",38,"Hispanics",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.60849046583027
"Did not reoffend","Males",42,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.97905938180478
"Did reoffend","Females",55,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.88287889275775
"Did reoffend","Males",31,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.68251237443551
"Did not reoffend","Males",35,"Hispanics",5,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",5.53266113889946
"Did reoffend","Males",24,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.10654315784705
"Did not reoffend","Males",41,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.83257863390384
"Did not reoffend","Females",45,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.09275365527139
"Did not reoffend","Females",33,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.81772414260412
"Did not reoffend","Males",32,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.84452275545419
"Did reoffend","Males",45,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.47708452898499
"Did not reoffend","Males",44,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.56071009690169
"Did reoffend","Males",46,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.72596265764292
"Did not reoffend","Males",26,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.2811111480069
"Did not reoffend","Males",57,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.43948490873993
"Did reoffend","Males",29,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.72441671428094
"Did reoffend","Males",20,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.73027059970872
"Did reoffend","Males",31,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.0143052839729
"Did not reoffend","Males",55,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.51317875521497
"Did not reoffend","Females",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.68795119212567
"Did not reoffend","Males",28,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.43777912505778
"Did not reoffend","Males",57,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.57921082499207
"Did reoffend","Males",25,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Violent offences",8,"Left-handed individuals",6.05273869234236
"Did reoffend","Males",33,"Others",7,0,1,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",5.80288160467264
"Did not reoffend","Males",27,"Native Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.57255255437773
"Did not reoffend","Males",23,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.13030791976594
"Did reoffend","Males",46,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.65737095037195
"Did not reoffend","Males",35,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.88461687611721
"Did not reoffend","Males",56,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.65223014454218
"Did reoffend","Males",25,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.90153496576254
"Did not reoffend","Males",33,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.53396450837056
"Did not reoffend","Females",54,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.67633983865933
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.84762849315215
"Did reoffend","Females",26,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.7977237856038
"Did reoffend","Males",31,"Hispanics",5,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.68021415068347
"Did reoffend","Males",33,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.81438015225514
"Did not reoffend","Males",59,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.2551734377608
"Did not reoffend","Males",24,"Caucasians",3,1,2,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.54719524256014
"Did reoffend","Males",26,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.82237328311624
"Did not reoffend","Males",37,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",1,"Left-handed individuals",5.66639570348503
"Did not reoffend","Males",53,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.57479523975475
"Did not reoffend","Males",47,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.64206291692103
"Did reoffend","Males",29,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.73974178850714
"Did not reoffend","Females",49,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.54379489410207
"Did reoffend","Males",61,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.32228369485847
"Did not reoffend","Males",24,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.69227254762545
"Did not reoffend","Males",52,"Others",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.53291412428581
"Did reoffend","Males",44,"Caucasians",6,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.80010882951178
"Did reoffend","Males",62,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.36525439057229
"Did reoffend","Males",28,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.87786516447205
"Did not reoffend","Males",43,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.72393701865406
"Did reoffend","Males",41,"African-Americans",25,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",6.01400426931924
"Did reoffend","Males",24,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.76096223264659
"Did reoffend","Males",49,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.58074734859459
"Did reoffend","Males",52,"Others",13,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.83475511410167
"Did not reoffend","Males",36,"Caucasians",1,0,0,"Individuals convicted of a Felony","Violent offences",2,"Left-handed individuals",5.45580950686315
"Did not reoffend","Males",54,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.34656428576641
"Did reoffend","Males",54,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.78917407362873
"Did not reoffend","Males",35,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.41430301231445
"Did reoffend","Males",29,"Caucasians",12,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.93732524718939
"Did not reoffend","Females",29,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.7576970923226
"Did reoffend","Males",46,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.84924828157152
"Did reoffend","Males",30,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.59049800007725
"Did reoffend","Males",23,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.5593870820495
"Did reoffend","Females",28,"Caucasians",7,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.72470156119515
"Did reoffend","Males",26,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.72063316933123
"Did reoffend","Males",27,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.19236698186296
"Did reoffend","Males",23,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.06439829490713
"Did reoffend","Males",31,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.34520819446623
"Did not reoffend","Females",36,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.49755024854127
"Did not reoffend","Males",32,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.89197489633137
"Did reoffend","Males",46,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.83953374952253
"Did not reoffend","Females",29,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.58977054166123
"Did not reoffend","Females",50,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.45193965114387
"Did not reoffend","Females",33,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.20166979741072
"Did not reoffend","Males",42,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.6439790493387
"Did reoffend","Males",24,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.7984765166572
"Did not reoffend","Males",35,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.79651902290769
"Did reoffend","Males",26,"African-Americans",2,0,0,"Individuals convicted of a Felony","Violent offences",2,"Left-handed individuals",5.34231737877251
"Did reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",2,"Left-handed individuals",5.95971386408506
"Did not reoffend","Males",27,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.66994465837348
"Did not reoffend","Males",27,"African-Americans",11,0,1,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.07902001542253
"Did reoffend","Males",36,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.11863969665682
"Did reoffend","Males",25,"Caucasians",7,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.76141993019762
"Did reoffend","Males",24,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.98783320212124
"Did not reoffend","Males",27,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.78741752639096
"Did not reoffend","Males",57,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.64710161168621
"Did reoffend","Males",28,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.45089256912021
"Did not reoffend","Males",52,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.45179153946473
"Did reoffend","Males",42,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.82056303757169
"Did not reoffend","Males",46,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",1,"Left-handed individuals",5.58142832646867
"Did reoffend","Males",30,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.37697971465779
"Did reoffend","Males",31,"African-Americans",8,0,2,"Individuals convicted of a Misdemeanor","Violent offences",10,"Left-handed individuals",5.89290077188371
"Did reoffend","Males",57,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.55156015251522
"Did reoffend","Males",29,"African-Americans",6,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.80906320888265
"Did not reoffend","Males",38,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.94228547889552
"Did not reoffend","Males",29,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.58526454221071
"Did reoffend","Males",40,"Others",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.46612108078933
"Did reoffend","Males",42,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.49051746655007
"Did reoffend","Males",26,"African-Americans",6,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.69196133344518
"Did not reoffend","Males",22,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.48993620126874
"Did reoffend","Males",34,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.55242311778813
"Did not reoffend","Males",40,"Caucasians",6,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.65173147142805
"Did not reoffend","Males",32,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.61191138772371
"Did reoffend","Males",30,"Hispanics",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.60845511553508
"Did reoffend","Males",37,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Violent offences",7,"Left-handed individuals",5.8048511300537
"Did not reoffend","Males",24,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.54495802752539
"Did reoffend","Females",28,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.85694861736483
"Did reoffend","Males",20,"African-Americans",1,1,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.04783354737094
"Did reoffend","Males",30,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.49800505860074
"Did not reoffend","Females",35,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.60626426338814
"Did not reoffend","Males",50,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.48065590118442
"Did reoffend","Males",47,"African-Americans",14,4,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.02238819634115
"Did not reoffend","Males",34,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.40754966904597
"Did not reoffend","Males",54,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.97611752844617
"Did not reoffend","Females",29,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.54657789563713
"Did not reoffend","Males",50,"Caucasians",10,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.67301464757768
"Did reoffend","Females",39,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.80392369468287
"Did reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.6101918603708
"Did not reoffend","Males",30,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.80108574096495
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.76606172453797
"Did not reoffend","Males",26,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.83415066109652
"Did reoffend","Males",28,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",2,"Left-handed individuals",5.49973438194808
"Did reoffend","Males",27,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.92114733295866
"Did not reoffend","Males",21,"African-Americans",1,0,1,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.590211135421
"Did not reoffend","Males",38,"Asians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.75323214037779
"Did not reoffend","Males",38,"African-Americans",15,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.1655845844057
"Did not reoffend","Females",31,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.78301272005365
"Did not reoffend","Males",51,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.75005210297156
"Did reoffend","Males",20,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.71274071169569
"Did not reoffend","Males",58,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.4386995761521
"Did not reoffend","Males",28,"Caucasians",14,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.0612676193633
"Did not reoffend","Males",27,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.95230577782041
"Did reoffend","Males",22,"African-Americans",12,1,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.90515764403163
"Did not reoffend","Males",39,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.33285997450868
"Did not reoffend","Males",23,"Others",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.86550677724671
"Did not reoffend","Males",23,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.59947604006206
"Did reoffend","Males",22,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.90818963182034
"Did not reoffend","Males",52,"Caucasians",7,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.78592046962195
"Did not reoffend","Males",55,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.16820639340314
"Did not reoffend","Males",37,"Others",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.62065101642355
"Did not reoffend","Males",22,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.84465433786553
"Did reoffend","Males",53,"African-Americans",3,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.96010907383925
"Did reoffend","Males",27,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.62698775521616
"Did not reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.97666268424947
"Did reoffend","Males",36,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.69738377617438
"Did reoffend","Males",22,"African-Americans",3,0,1,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",5.86025959967177
"Did not reoffend","Males",41,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.92769391624243
"Did reoffend","Males",34,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.22364740621899
"Did reoffend","Males",45,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.70102255677666
"Did not reoffend","Males",39,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.75736989521076
"Did reoffend","Females",30,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.72074266444768
"Did not reoffend","Males",24,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.72267062145659
"Did not reoffend","Males",37,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.40981399206808
"Did reoffend","Males",21,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",4,"Left-handed individuals",5.93903279778063
"Did not reoffend","Females",65,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.531008275002
"Did reoffend","Females",24,"African-Americans",2,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.80298589566537
"Did not reoffend","Males",25,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.77600426943703
"Did not reoffend","Females",23,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.7482689479427
"Did not reoffend","Males",44,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.61235929440666
"Did not reoffend","Males",28,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.50031547789448
"Did not reoffend","Males",41,"Hispanics",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.68644430555538
"Did reoffend","Males",57,"African-Americans",8,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.38486365296042
"Did reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.64223084504901
"Did reoffend","Males",25,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.69503948707109
"Did reoffend","Females",27,"Caucasians",1,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.80446122088725
"Did not reoffend","Males",25,"African-Americans",9,0,1,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.19824507512182
"Did reoffend","Males",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",6.04718612349576
"Did reoffend","Males",36,"African-Americans",14,1,2,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.96781966360847
"Did not reoffend","Males",33,"Asians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.49382685744499
"Did not reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.87490980967574
"Did not reoffend","Males",52,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.47988533551933
"Did not reoffend","Females",46,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.53936237674803
"Did reoffend","Males",40,"African-Americans",5,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",5.8520698261271
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.62056439946887
"Did not reoffend","Males",31,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.54340005804458
"Did not reoffend","Females",23,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.36249638090085
"Did reoffend","Males",27,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.70206996880575
"Did reoffend","Males",31,"Caucasians",6,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.71363052679099
"Did reoffend","Males",27,"African-Americans",6,1,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.79839203792483
"Did not reoffend","Males",50,"Caucasians",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.3655572768584
"Did reoffend","Females",44,"African-Americans",11,0,1,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.87039017190034
